id,text,label
9833,"Это так удивительно, как много входит в один дубль.",0
9834,"Впоследствии Муллинер, кажется, был капельмейстером в школе святого Павла, но это утверждение ещё не проверено.",0
9835,"От неё отказалась мать (отсюда — кличка, придуманная Чаплиной), и львёнок должен был погибнуть.",0
9836,"Он остался во Франции после того, как его два коллеги возвратились, за что федералисты обвиняли его в поддержке французов.",0
9837,"Я помощник профессора в $3,000 и я чувствую себя уверенным, что это предел для меня.",1
9838,"Статус 304 говорит клиенту, что его скрепленная версия все еще хороша и что она должна использовать это.",1
9839,Мы нашли красивую синюю лагуну в самой отдаленной части острова.,1
9840,"Клянусь письменной тростью и тем, что они пишут!»",0
9841,"Сана изначально хотела плачущей красной птицы, а Кийн хотела одинокого солдата.",1
9842,"Все убитые были индонезийцеми, за исключением одного голландского бизнесмена, одного датчанина и двух китайских туристов.",0
9843,После этого назначения Loop News назвала её одной из 10 самых влиятельных женщин на Барбадосе.,0
9844,В 14 лет получил первую премию как лучший певец на конкурсе Северо-Западного региона.,0
9845,670 депутатов (депутатов и сенаторов) присоединились к Виши 4 июля для встречи обеих палат в Национальной ассамблее.,1
9846,«Как нью-йоркская группа вдохновила «Baby Driver» 20 лет назад»,1
9847,Выборы в Малайзии проходят на двух уровнях: на национальном уровне и на уровне государства.,1
9848,"Предсказуемые события не должны вызывать убытков, превышающих в десять раз VaR.",1
9849,"Он основал архивную традицию, которая в Германии сохранилась в течение не менее двух столетий.",1
9850,"Математически, как представляется, нет никаких оснований для отказа от решений, касающихся негативной энергии.",1
9851,"Я никогда в жизни не делал кокаина, и я горжусь этим.",1
9852,"Илл и Леонтий были обезглавлены (488 год), а их головы отправлены императору.",0
9853,"Я wonder, если она признает меня после всех этих лет.",1
9854,"Кроме того, румынское министерство окружающей среды и водного хозяйства прилагает усилия для приведения румынских экологических стандартов в соответствие с европейскими стандартами.",0
9855,"В нескольких местах она ссылается на то, что жила спокойной нормальной человеческой жизнью, прежде чем стать сверхчеловеческим.",1
9856,"Его доклад никак не поможет Америке выиграть эту войну.""",1
9857,"С тех пор, его брат уже не были пары лжи.",1
9858,Постройка нового Духовного и культурного православного русского Центра будет закончена в 2016-ом году.,0
9859,Он был часто папским легатом или действовал как таковой в Германии.,0
9860,"Но 15 июня 2015 года была налажена доставка продукта в Канаду, по той же цене, что и для американских клиентов .",0
9861,"В период с 1894 по 1911 год Буш осуществил одиннадцать путешествий на Кавказ, один раз посетил Крым.",0
9862,Илья дал свой знаменитый ответ: «Членство в коммунистической партии будет отвлекать меня от моей работы».,0
